,,,ntsc_0.9,,,ntsc_1.0,,,ntsc_1.1,,,pal_1.0,,,ntsc_1.2,,,pal_1.1,,,jp_gc,,,jp_mq,,,usa_gc,,,usa_mq,,,pal_gc,,,pal_gc_dbg1,,,pal_gc_dbg2,,,pal_mq,,,pal_mq_dbg,,,jp_gc_ce,,,ique_cn,,,ique_tw,,,
Debug rom,Pal MQ retail,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,iQue
z_en_a_keep.c,,,0,800110A0,,0,800110A0,AA0,0,800110A0,,0,800116E0,,0,800116E0,,0,800116E0,,0,80010EE0,AA0,0,80010EE0,AA0,0,80010EE0,,0,80010EE0,,0,80010F00,AA0,0,8001CE60,AD0,0,8001CE60,AD0,0,80010F00,AA0,0,8001CE60,AD0,0,80010EE0,,0,80018FA0,AA0,0,80018A40,AA0,
z_en_item00.c,,,000AA0,80011B40,23F0,000AA0,80011B40,23F0,,,,,,,,,,,,,000AA0,80011980,2400,AA0,80011980,,,,,,,,000AA0,800119A0,2400,AD0,8001D930,24C0,AD0,8001D930,24C0,000AA0,800119A0,2400,AD0,8001D930,24C0,,,,000AA0,80019A40,2400,000AA0,800194E0,2400,
z_eff_blure.c,,,002E90,80013F30,3470,002E90,80013F30,3470,,,,,,,,,,,,,002EA0,80013D80,3430,,,,,,,,,,002EA0,80013DA0,3430,002F90,8001FDF0,3660,002F90,8001FDF0,3660,002EA0,80013DA0,3430,2F90,8001FDF0,3660,,,,002EA0,8001BE40,3430,002EA0,8001B8E0,3430,
z_eff_shield_particle.c,,,006300,800173A0,1680,006300,800173A0,1680,,,,,,,,,,,,,0062D0,800171B0,1660,,,,,,,,,,0062D0,800171D0,1660,0065F0,80023450,16B0,0065F0,80023450,16B0,0062D0,800171D0,1660,65F0,80023450,16B0,,,,0062D0,8001F270,1660,0062D0,8001ED10,1660,
z_eff_spark.c,,,007980,80018A20,16C0,007980,80018A20,16C0,,,,,,,,,,,,,007930,80018810,16B0,,,,,,,,,,007930,80018830,16B0,007CA0,80024B00,1730,007CA0,80024B00,1730,007930,80018830,16B0,7CA0,80024B00,1730,,,,007930,800208D0,16B0,007930,80020370,16B0,
z_eff_ss_dead.c,,,009040,8001A0E0,750,009040,8001A0E0,750,,,,,,,,,,,,,008FE0,80019EC0,7B0,,,,,,,,,,008FE0,80019EE0,7B0,0093D0,80026230,8D0,0093D0,80026230,8D0,008FE0,80019EE0,7B0,93D0,80026230,8D0,,,,008FE0,80021F80,7B0,008FE0,80021A20,7B0,
z_effect.c,,,009790,8001A830,7D0,009790,8001A830,7D0,,,,,,,,,,,,,009790,8001A670,780,,,,,,,,,,009790,8001A690,780,009CA0,80026B00,7B0,009CA0,80026B00,7B0,009790,8001A690,780,9CA0,80026B00,7B0,,,,009790,80022730,780,009790,800221D0,780,
z_effect_soft_sprite.c,,,009F60,8001B000,AA0,009F60,8001B000,AA0,,,,,,,,,,,,,009F10,8001ADF0,AA0,,,,,,,,,,009F10,8001AE10,AA0,00A450,800272B0,CD0,00A450,800272B0,CD0,009F10,8001AE10,AA0,A450,800272B0,CD0,,,,009F10,80022EB0,AA0,009F10,80022950,AA0,
z_effect_soft_sprite_old_init.c,,,00AA00,8001BAA0,2B20,00AA00,8001BAA0,2B20,,,,,,,,,,,,,00A9B0,8001B890,2B20,,,,,,,,,,00A9B0,8001B8B0,2B20,00B120,80027F80,2B30,00B120,80027F80,2B30,00A9B0,8001B8B0,2B20,B120,80027F80,2B30,,,,00A9B0,80023950,2B20,00A9B0,800233F0,2B20,
flg_set.c,,,00D520,8001E5C0,410,00D520,8001E5C0,410,,,,,,,,,,,,,00D4D0,8001E3B0,420,,,,,,,,,,00D4D0,8001E3D0,420,00DC50,8002AAB0,450,00DC50,8002AAB0,450,00D4D0,8001E3D0,420,DC50,8002AAB0,450,,,,00D4D0,80026470,420,00D4D0,80025F10,420,
z_DLF.c,,,00D930,8001E9D0,250,00D930,8001E9D0,250,,,,,,,,,,,,,00D8F0,8001E7D0,250,,,,,,,,,,00D8F0,8001E7F0,250,00E0A0,8002AF00,2E0,00E0A0,8002AF00,2E0,00D8F0,8001E7F0,250,E0A0,8002AF00,2E0,,,,00D8F0,80026890,250,00D8F0,80026330,250,
z_actor.c (+z_cheap_proc.c),,,00DB80,8001EC20,,00DB80,8001EC20,C540,,,,,,,,,,,,,00DB40,8001EA20,,,,,,,,,,,00DB40,8001EA40,C580,00E380,8002B1E0,D1E0,00E380,8002B1E0,D1E0,00DB40,8001EA40,C580,E380,8002B1E0,D1E0,,,,00DB40,80026AE0,,00DB40,80026580,,
z_actor_dlftbls.c,,,,,,01A0C0,8002B160,,,,,,,,,,,,,,,,,,,,,,,,,,01A0C0,8002AFC0,,01B560,800383C0,240,01B560,800383C0,240,01A0C0,8002AFC0,150,1B560,800383C0,240,,,,,,,,,,
z_bgcheck.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01B7A0,80038600,AAA0,01B7A0,80038600,AAA0,01A210,8002B110,9BE0,1B7A0,80038600,AAA0,,,,,,,,,,
code_800430A0.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,023DF0,80034CF0,320,026240,800430A0,3E0,026240,800430A0,3E0,023DF0,80034CF0,320,26240,800430A0,3E0,,,,,,,,,,
code_80043480.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,024110,80035010,390,026620,80043480,370,026620,80043480,370,024110,80035010,390,26620,80043480,370,,,,,,,,,,
z_camera.c,,Camera_QRegInit is gone on retail (and probably more),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0244A0,800353A0,,026990,800437F0,17A10,026990,800437F0,17A10,0244A0,800353A0,14630,26990,800437F0,17A10,,,,,,,,,,
z_collision_btltbls.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03E3A0,8005B200,80,03E3A0,8005B200,80,038AD0,800499D0,60,3E3A0,8005B200,80,,,,,,,,,,
z_collision_check.c,,First two functions gone on retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03E420,8005B280,83C0,03E420,8005B280,83C0,038B30,80049A30,7C80,3E420,8005B280,83C0,,,,,,,,,,
z_common_data.c,,NTSC is originally larger: it contains language detection code until usa_gc. iQue also has this.,0409D0,80051A70,B0,040A00,80051AA0,B0,040A00,80051AA0,B0,040A30,80052110,80,040A50,80052130,B0,040A30,80052110,80,0407D0,800516B0,B0,0407D0,800516B0,B0,0407D0,800516B0,90,0407D0,800516B0,90,0407B0,800516B0,80,0467E0,80063640,80,0467E0,80063640,80,0407B0,800516B0,80,467E0,80063640,80,0407D0,800516B0,90,03F5C0,80058560,B0,03F770,800581B0,B0,
z_debug.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040830,80051730,310,046860,800636C0,7D0,046860,800636C0,7D0,040830,80051730,310,46860,800636C0,7D0,040860,80051740,310,,,,,,,
z_debug_display.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040B40,80051A40,4C0,047030,80063E90,560,047030,80063E90,560,040B40,80051A40,4C0,47030,80063E90,560,040B70,80051A50,4C0,,,,,,,
z_demo.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,041000,80051F00,4CE0,047590,800643F0,5030,047590,800643F0,5030,041000,80051F00,4CE0,47590,800643F0,5030,041030,80051F10,4CE0,,,,,,,
code_80069420.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,045CE0,80056BE0,90,04C5C0,80069420,80,04C5C0,80069420,80,045CE0,80056BE0,90,4C5C0,80069420,80,045D10,80056BF0,,,,,,,,
z_draw.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,045D70,80056C70,1F00,04C640,800694A0,2560,04C640,800694A0,2560,045D70,80056C70,1F00,4C640,800694A0,2560,,,,,,,,,,
code_8006BA00.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,047C70,80058B70,1C0,04EBA0,8006BA00,1C0,04EBA0,8006BA00,1C0,047C70,80058B70,1C0,4EBA0,8006BA00,1C0,,,,,,,,,,
z_elf_message.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04ED60,8006BBC0,7A0,04ED60,8006BBC0,7A0,047E30,80058D30,6E0,4ED60,8006BBC0,7A0,047E60,80058D40,6E0,,,,,,,
z_face_reaction.c,,,0486F0,80059790,50,048720,800597C0,50,048720,800597C0,50,048720,80059E00,50,048770,80059E50,50,048720,80059E00,50,048560,80059440,50,048560,80059440,50,048540,80059420,50,048540,80059420,50,048510,80059410,50,04F500,8006C360,40,04F500,8006C360,40,048510,80059410,50,4F500,8006C360,40,048540,80059420,50,047350,800602F0,50,047500,8005FF40,50,
code_8006C3A0.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048560,80059460,180,04F540,8006C3A0,170,04F540,8006C3A0,170,048560,80059460,180,4F540,8006C3A0,170,,,,,,,,,,
code_8006C510.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0486E0,800595E0,240,04F6B0,8006C510,240,04F6B0,8006C510,240,0486E0,800595E0,240,4F6B0,8006C510,240,,,,,,,,,,
z_fcurve_data_skelanime.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048920,80059820,810,04F8F0,8006C750,870,04F8F0,8006C750,870,048920,80059820,810,4F8F0,8006C750,870,,,,,,,,,,
z_game_dlftbls.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50160,8006CFC0,0,,,,,,,,,,
z_horse.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,049130,8005A030,CE0,050160,8006CFC0,E70,050160,8006CFC0,E70,049130,8005A030,CE0,50160,8006CFC0,E70,,,,,,,,,,
z_jpeg.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,049E10,8005AD10,7C0,050FD0,8006DE30,C00,050FD0,8006DE30,C00,049E10,8005AD10,7C0,50FD0,8006DE30,C00,,,,,,,,,,
z_kaleido_setup.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04A5D0,8005B4D0,3D0,051BD0,8006EA30,420,051BD0,8006EA30,420,04A5D0,8005B4D0,3D0,51BD0,8006EA30,420,,,,,,,,,,
z_kanfont.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04A9A0,8005B8A0,1D0,051FF0,8006EE50,250,051FF0,8006EE50,250,04A9A0,8005B8A0,1D0,51FF0,8006EE50,250,,,,,,,,,,
z_kankyo.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04AB70,8005BA70,7810,052240,8006F0A0,8740,052240,8006F0A0,8740,04AB70,8005BA70,7810,52240,8006F0A0,8740,,,,,,,,,,
z_lib.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,052380,80063280,11A0,05A980,800777E0,1180,05A980,800777E0,1180,052380,80063280,11A0,5A980,800777E0,1180,,,,,,,,,,
z_lifemeter.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,053520,80064420,13A0,05BB00,80078960,13D0,05BB00,80078960,13D0,053520,80064420,13A0,5BB00,80078960,13D0,,,,,,,,,,
z_lights.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0548C0,800657C0,,05CED0,80079D30,10E0,05CED0,80079D30,10E0,0548C0,800657C0,10A0,5CED0,80079D30,10E0,,,,,,,,,,
z_malloc.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05DFB0,8007AE10,480,05DFB0,8007AE10,480,055960,80066860,1E0,5DFB0,8007AE10,480,,,,,,,,,,
z_map_mark.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,055B40,80066A40,600,05E430,8007B290,680,05E430,8007B290,680,055B40,80066A40,600,5E430,8007B290,680,,,,,,,,,,
z_moji.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05EAB0,8007B910,550,05EAB0,8007B910,550,,,,5EAB0,8007B910,550,,,,,,,,,,
z_prenmi_buff.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56140,80067040,C0,05F000,8007BE60,B0,05F000,8007BE60,B0,56140,80067040,C0,5F000,8007BE60,B0,,,,,,,,,,
z_msgevent.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,056200,80067100,80,05F0B0,8007BF10,80,05F0B0,8007BF10,80,056200,80067100,80,5F0B0,8007BF10,80,,,,,,,,,,
z_olib.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,056280,80067180,6F0,05F130,8007BF90,6F0,05F130,8007BF90,6F0,056280,80067180,6F0,5F130,8007BF90,6F0,,,,,,,,,,
z_onepointdemo.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05F820,8007C680,4120,05F820,8007C680,4120,056970,80067870,3FA0,5F820,8007C680,4120,,,,,,,,,,
z_map_exp.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,063940,800807A0,1E40,063940,800807A0,1E40,05A910,8006B810,1BA0,63940,800807A0,1E40,,,,,,,,,,
z_parameter.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,065780,800825E0,BF00,065780,800825E0,BF00,,,,65780,800825E0,BF00,,,,,,,,,,
z_path.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,067BA0,80078AA0,1D0,071680,8008E4E0,1C0,071680,8008E4E0,1C0,067BA0,80078AA0,1D0,71680,8008E4E0,1C0,,,,,,,,,,
code_8008E6A0.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,067D70,80078C70,B0,071840,8008E6A0,B0,071840,8008E6A0,B0,067D70,80078C70,B0,71840,8008E6A0,B0,,,,,,,,,,
z_player_lib.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,067E20,80078D20,,0718F0,8008E750,3BD0,0718F0,8008E750,3BD0,067E20,80078D20,,718F0,8008E750,3BD0,,,,,,,,,,
z_prenmi.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06B890,8007C790,1A0,0754C0,80092320,1E0,0754C0,80092320,1E0,06B890,8007C790,1A0,754C0,80092320,1E0,,,,,,,,,,
z_quake.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06BA30,8007C930,E70,0756A0,80092500,E70,0756A0,80092500,E70,06BA30,8007C930,E70,756A0,80092500,E70,,,,,,,,,,
z_rcp.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,076510,80093370,2730,076510,80093370,2730,06C8A0,8007D7A0,18C0,76510,80093370,2730,,,,,,,,,,
z_room.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,078C40,80095AA0,1B30,078C40,80095AA0,1B30,06E160,8007F060,17F0,78C40,80095AA0,1B30,,,,,,,,,,
z_sample.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06F950,80080850,400,07A770,800975D0,430,07A770,800975D0,430,06F950,80080850,400,7A770,800975D0,430,,,,,,,,,,
code_80097A00.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06FD50,80080C50,1C0,07ABA0,80097A00,200,07ABA0,80097A00,200,06FD50,80080C50,1C0,7ABA0,80097A00,200,,,,,,,,,,
z_scene.c,,,,,,,,,,,,,,,,,,,,,06FF80,80080E60,,06FF80,80080E60,,06FF60,80080E40,,06FF60,80080E40,,06FF10,80080E10,,07ADA0,80097C00,18A0,07ADA0,80097C00,18A0,06FF10,80080E10,,7ADA0,80097C00,18A0,06FF60,80080E40,,,,,,,,
z_scene_table.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07C640,800994A0,7420,07C640,800994A0,7420,,,,7C640,800994A0,7400,,,,,,,,,,
z_skelanime.c,,,,,,,,,,,,,,,,,,,,,077C30,80088B10,,077C10,80088AF0,,077C10,80088AF0,,077BF0,80088AD0,,077BC0,80088AC0,,83A60,800A08C0,4F20,83A60,800A08C0,4F20,077BA0,80088AA0,49F0,83A40,800A08A0,4F20,077C10,80088AF0,,,,,,,,
z_skin.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88980,800A57E0,CA0,88980,800A57E0,CA0,07C590,8008D490,BA0,88960,800A57C0,CA0,,,,,,,,,,
z_skin_awb.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89620,800A6480,9B0,89620,800A6480,9B0,07D130,8008E030,910,89600,800A6460,9B0,,,,,,,,,,
z_skin_matrix.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89FD0,800A6E30,1390,89FD0,800A6E30,1390,07DA40,8008E940,13A0,89FB0,800A6E10,1390,,,,,,,,,,
z_sram.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8B360,800A81C0,1BA0,8B360,800A81C0,1BA0,07EDE0,8008FCE0,1440,8B340,800A81A0,1BA0,,,,,,,,,,
